id,daily_times
9300,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
9301,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['27', '31'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
5539,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['8'], 'vendredi': ['9'], 'samedi': ['10'], 'dimanche': []}"
8479,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
5604,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
9552,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['29'], 'vendredi': ['30'], 'samedi': ['31'], 'dimanche': []}"
6053,"{'lundi': ['9h'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['17h'], 'samedi': [], 'dimanche': []}"
9648,"{'lundi': [], 'mardi': ['29'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
11585,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['10'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
10239,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['6', '10h-18h'], 'dimanche': []}"
3800,"{'lundi': [], 'mardi': ['26'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
3802,"{'lundi': [], 'mardi': ['29'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
11037,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
6533,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
10095,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['10'], 'vendredi': ['11'], 'samedi': ['12'], 'dimanche': []}"
3849,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['2', '2'], 'samedi': ['3', '3'], 'dimanche': []}"
6524,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
6528,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
4385,"{'lundi': [], 'mardi': ['10h-18h'], 'mercredi': ['10h-18h'], 'jeudi': ['10h-18h'], 'vendredi': ['10h-18h'], 'samedi': ['10h-18h'], 'dimanche': []}"
2750,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['10'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
5156,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': ['30'], 'samedi': [], 'dimanche': []}"
1113,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['21']}"
7339,"{'lundi': ['28'], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
6609,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['10'], 'dimanche': []}"
11587,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': ['10'], 'vendredi': [], 'samedi': [], 'dimanche': []}"
615,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': ['9h30', '1'], 'dimanche': []}"
1137,"{'lundi': [], 'mardi': ['15'], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': []}"
3906,"{'lundi': [], 'mardi': [], 'mercredi': [], 'jeudi': [], 'vendredi': [], 'samedi': [], 'dimanche': ['27']}"
